Region main,Specific_region,year,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Unknown,Total,
Barwon South West,Ballarat (C), 2019YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Ballarat (C), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Ballarat (C), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Ballarat (C), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Ballarat (C), 2018Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Ballarat (C), 2017Total,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Barwon South West,Ballarat (C), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Banyule (C), 2019YTD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,
Barwon South West,Banyule (C), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Banyule (C), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Banyule (C), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Banyule (C), 2018Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Banyule (C), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Banyule (C), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Boroondara (C), 2019YTD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,
Barwon South West,Boroondara (C), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Boroondara (C), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Boroondara (C), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Boroondara (C), 2018Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Boroondara (C), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Boroondara (C), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Buloke (S), 2019YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Buloke (S), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Buloke (S), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Buloke (S), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Buloke (S), 2018Total,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Barwon South West,Buloke (S), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Buloke (S), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Colac-Otway (S), 2019YTD,6,6,1,4,8,6,5,6,5,6,3,7,4,4,9,4,5,3,0,92,
Barwon South West,Colac-Otway (S), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,5,
Barwon South West,Colac-Otway (S), 2017YTD,2,2,1,0,2,0,0,2,2,0,1,1,2,1,1,4,0,1,0,22,
Barwon South West,Colac-Otway (S), 2016YTD,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,
Barwon South West,Colac-Otway (S), 2018Total,1,3,2,0,2,2,1,3,1,3,1,2,0,3,0,2,0,1,0,27,
Barwon South West,Colac-Otway (S), 2017Total,15,18,9,10,10,8,6,12,10,10,7,8,8,14,7,12,7,19,0,190,
Barwon South West,Colac-Otway (S), 2016Total,2,1,0,0,4,0,1,1,0,2,2,6,0,2,1,0,3,8,0,33,
Barwon South West,Corangamite (S), 2019YTD,8,22,14,8,6,3,5,6,4,4,9,5,5,9,5,7,0,0,0,120,
Barwon South West,Corangamite (S), 2018YTD,1,1,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0,0,8,
Barwon South West,Corangamite (S), 2017YTD,3,2,0,1,1,1,2,3,4,1,3,2,2,1,0,0,0,0,0,26,
Barwon South West,Corangamite (S), 2016YTD,1,2,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,9,
Barwon South West,Corangamite (S), 2018Total,1,2,0,0,1,1,0,1,2,0,2,0,1,2,2,0,0,0,0,15,
Barwon South West,Corangamite (S), 2017Total,16,11,7,10,9,9,8,12,9,14,11,17,12,11,5,12,8,12,0,193,
Barwon South West,Corangamite (S), 2016Total,6,8,2,7,5,4,8,4,3,3,11,4,6,3,2,6,6,2,0,90,
Barwon South West,Darebin (C), 2019YTD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Barwon South West,Darebin (C), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Darebin (C), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Darebin (C), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Darebin (C), 2018Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Darebin (C), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Darebin (C), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Glenelg (S), 2019YTD,3,6,3,3,6,2,2,7,3,4,3,4,2,5,5,3,5,4,0,70,
Barwon South West,Glenelg (S), 2018YTD,1,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,8,
Barwon South West,Glenelg (S), 2017YTD,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,7,
Barwon South West,Glenelg (S), 2016YTD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,
Barwon South West,Glenelg (S), 2018Total,2,1,1,2,1,0,2,1,0,0,1,0,3,1,0,1,1,0,0,17,
Barwon South West,Glenelg (S), 2017Total,5,2,3,2,1,0,2,1,2,1,3,5,7,0,4,2,3,2,0,45,
Barwon South West,Glenelg (S), 2016Total,0,3,0,2,1,0,0,4,2,0,3,3,3,2,2,4,1,8,0,38,
Barwon South West,Golden Plains (S), 2019YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
Barwon South West,Golden Plains (S), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Golden Plains (S), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Golden Plains (S), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Golden Plains (S), 2018Total,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Barwon South West,Golden Plains (S), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Golden Plains (S), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Greater Geelong (C), 2019YTD,121,138,62,63,111,100,98,86,74,66,65,84,89,59,69,52,53,98,0,1488,
Barwon South West,Greater Geelong (C), 2018YTD,5,5,4,4,5,4,6,6,3,8,9,5,10,6,5,6,4,3,0,98,
Barwon South West,Greater Geelong (C), 2017YTD,24,19,7,28,17,13,13,13,19,22,23,12,13,14,10,7,12,10,0,276,
Barwon South West,Greater Geelong (C), 2016YTD,16,3,2,4,8,6,9,7,4,6,5,4,7,5,2,1,2,1,0,92,
Barwon South West,Greater Geelong (C), 2018Total,27,40,11,17,18,21,29,33,22,37,27,22,34,24,16,19,9,19,0,425,
Barwon South West,Greater Geelong (C), 2017Total,139,117,80,121,72,61,97,99,93,94,79,78,80,81,70,60,51,68,0,1540,
Barwon South West,Greater Geelong (C), 2016Total,47,16,12,15,33,29,31,34,21,25,27,17,33,28,11,13,18,28,1,439,
Barwon South West,Hepburn (S), 2019YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
Barwon South West,Hepburn (S), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Hepburn (S), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Hepburn (S), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Hepburn (S), 2018Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Hepburn (S), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Hepburn (S), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Hobsons Bay (C), 2019YTD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Barwon South West,Hobsons Bay (C), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Hobsons Bay (C), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Hobsons Bay (C), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Hobsons Bay (C), 2018Total,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
Barwon South West,Hobsons Bay (C), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Hobsons Bay (C), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mansfield (S), 2019YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
Barwon South West,Mansfield (S), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mansfield (S), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mansfield (S), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mansfield (S), 2018Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mansfield (S), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mansfield (S), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Maribyrnong (C), 2019YTD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
Barwon South West,Maribyrnong (C), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Maribyrnong (C), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Maribyrnong (C), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Maribyrnong (C), 2018Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Maribyrnong (C), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Maribyrnong (C), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mount Alexander (S), 2019YTD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
Barwon South West,Mount Alexander (S), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mount Alexander (S), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mount Alexander (S), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mount Alexander (S), 2018Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mount Alexander (S), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Mount Alexander (S), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Moyne (S), 2019YTD,15,13,4,4,8,11,8,6,2,6,3,4,4,8,5,4,4,5,0,114,
Barwon South West,Moyne (S), 2018YTD,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,6,
Barwon South West,Moyne (S), 2017YTD,1,0,3,1,0,1,0,1,1,0,0,2,0,1,1,0,1,0,0,13,
Barwon South West,Moyne (S), 2016YTD,2,1,0,0,1,1,1,2,0,0,3,0,1,0,0,0,0,0,0,12,
Barwon South West,Moyne (S), 2018Total,1,1,1,0,0,1,1,2,1,3,3,0,2,2,2,1,0,1,0,22,
Barwon South West,Moyne (S), 2017Total,5,5,19,15,1,6,6,7,7,7,7,7,8,5,7,2,6,7,0,127,
Barwon South West,Moyne (S), 2016Total,4,4,3,2,5,1,3,3,1,1,8,2,4,4,6,4,1,2,0,58,
Barwon South West,Port Phillip (C), 2019YTD,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
Barwon South West,Port Phillip (C), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Port Phillip (C), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Port Phillip (C), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Port Phillip (C), 2018Total,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
Barwon South West,Port Phillip (C), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Port Phillip (C), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Queenscliffe (B), 2019YTD,0,1,0,2,2,1,1,1,2,0,1,0,1,1,0,0,1,2,0,16,
Barwon South West,Queenscliffe (B), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Queenscliffe (B), 2017YTD,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,
Barwon South West,Queenscliffe (B), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Queenscliffe (B), 2018Total,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,
Barwon South West,Queenscliffe (B), 2017Total,1,0,1,0,0,0,1,0,1,0,0,0,2,1,1,0,0,1,0,9,
Barwon South West,Queenscliffe (B), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Southern Grampians (S), 2019YTD,6,16,8,4,1,5,5,6,3,3,3,5,3,5,4,3,3,4,0,87,
Barwon South West,Southern Grampians (S), 2018YTD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,
Barwon South West,Southern Grampians (S), 2017YTD,0,0,0,1,1,1,1,0,0,1,1,0,4,1,1,2,1,5,0,20,
Barwon South West,Southern Grampians (S), 2016YTD,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,
Barwon South West,Southern Grampians (S), 2018Total,2,1,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,10,
Barwon South West,Southern Grampians (S), 2017Total,7,17,15,14,10,8,10,11,15,18,13,11,10,6,9,7,9,21,0,211,
Barwon South West,Southern Grampians (S), 2016Total,2,2,1,1,0,0,1,2,0,1,1,4,1,1,4,0,0,2,0,23,
Barwon South West,Stonnington (C), 2019YTD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
Barwon South West,Stonnington (C), 2018YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Stonnington (C), 2017YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Stonnington (C), 2016YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Stonnington (C), 2018Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Stonnington (C), 2017Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Stonnington (C), 2016Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barwon South West,Surf Coast (S), 2019YTD,14,19,9,6,3,4,11,14,15,14,7,10,11,8,4,3,12,4,0,168,
Barwon South West,Surf Coast (S), 2018YTD,1,2,0,1,0,1,0,3,1,1,2,1,4,1,0,3,0,0,0,21,
Barwon South West,Surf Coast (S), 2017YTD,3,0,0,1,2,0,0,2,0,2,1,3,4,1,2,0,2,1,0,24,
Barwon South West,Surf Coast (S), 2016YTD,1,1,1,1,0,0,1,1,4,0,1,1,2,0,0,0,0,0,0,14,
Barwon South West,Surf Coast (S), 2018Total,1,3,1,2,1,1,3,6,3,7,3,2,5,2,1,3,0,0,0,44,
Barwon South West,Surf Coast (S), 2017Total,7,8,7,14,7,4,9,14,8,14,7,16,13,11,5,3,4,9,0,160,
Barwon South West,Surf Coast (S), 2016Total,5,3,2,6,4,3,4,5,6,3,4,6,4,6,2,4,0,0,0,67,
Barwon South West,Warrnambool (C), 2019YTD,31,22,17,20,12,24,18,25,15,11,9,13,17,12,9,4,11,18,0,288,
