,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Region main,Specific_region,Total,Unknown,Unnamed: 23,year
0,5.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,5.0,7.0,0.0,4.0,2.0,3.0,2.0,Barwon South West,GLENELG,45.0,0.0,0.0, 2017Total
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Barwon South West,GLENELG,3.0,0.0,0.0, 2016YTD
2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,Barwon South West,GLENELG,7.0,0.0,0.0, 2017YTD
3,3.0,6.0,3.0,3.0,6.0,2.0,2.0,7.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,3.0,5.0,4.0,Barwon South West,GLENELG,70.0,0.0,0.0, 2019YTD
4,0.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,8.0,Barwon South West,GLENELG,38.0,0.0,0.0, 2016Total
5,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Barwon South West,GLENELG,8.0,0.0,0.0, 2018YTD
6,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,Barwon South West,GLENELG,17.0,0.0,0.0, 2018Total
7,122.0,107.0,53.0,41.0,38.0,46.0,55.0,54.0,53.0,47.0,46.0,54.0,53.0,63.0,61.0,58.0,65.0,106.0,Eastern MetropolitanNorthern and Western MetropolitanSouthern Metropolitan,GREATER DANDENONG,1122.0,0.0,0.0, 2017Total
8,11.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,1.0,Eastern MetropolitanNorthern and Western MetropolitanSouthern Metropolitan,GREATER DANDENONG,55.0,0.0,0.0, 2016YTD
9,25.0,11.0,9.0,5.0,3.0,10.0,8.0,9.0,7.0,10.0,8.0,10.0,13.0,11.0,19.0,18.0,16.0,26.0,Eastern MetropolitanNorthern and Western MetropolitanSouthern Metropolitan,GREATER DANDENONG,218.0,0.0,0.0, 2017YTD
10,123.0,108.0,53.0,42.0,41.0,60.0,80.0,73.0,42.0,31.0,38.0,46.0,38.0,26.0,37.0,24.0,35.0,39.0,Eastern MetropolitanNorthern and Western MetropolitanSouthern Metropolitan,GREATER DANDENONG,936.0,0.0,0.0, 2019YTD
11,33.0,14.0,5.0,9.0,8.0,12.0,22.0,15.0,8.0,20.0,13.0,9.0,11.0,19.0,22.0,21.0,21.0,40.0,Eastern MetropolitanNorthern and Western MetropolitanSouthern Metropolitan,GREATER DANDENONG,302.0,0.0,0.0, 2016Total
12,11.0,5.0,1.0,1.0,3.0,3.0,6.0,5.0,6.0,2.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,Eastern MetropolitanNorthern and Western MetropolitanSouthern Metropolitan,GREATER DANDENONG,70.0,0.0,0.0, 2018YTD
13,28.0,34.0,4.0,7.0,11.0,16.0,22.0,24.0,16.0,10.0,13.0,12.0,12.0,12.0,9.0,6.0,14.0,10.0,Eastern MetropolitanNorthern and Western MetropolitanSouthern Metropolitan,GREATER DANDENONG,260.0,0.0,0.0, 2018Total
14,17.0,17.0,12.0,17.0,12.0,11.0,15.0,13.0,12.0,17.0,15.0,15.0,15.0,14.0,11.0,11.0,7.0,6.0,Grampians,MOORABOOL,237.0,0.0,0.0, 2017Total
15,5.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,Grampians,MOORABOOL,19.0,0.0,0.0, 2016YTD
16,1.0,0.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,4.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,Grampians,MOORABOOL,30.0,0.0,0.0, 2017YTD
17,15.0,19.0,15.0,13.0,7.0,13.0,14.0,12.0,12.0,8.0,17.0,9.0,12.0,8.0,11.0,9.0,4.0,7.0,Grampians,MOORABOOL,205.0,0.0,0.0, 2019YTD
18,9.0,4.0,0.0,5.0,1.0,1.0,1.0,4.0,1.0,7.0,5.0,4.0,1.0,4.0,3.0,2.0,1.0,9.0,Grampians,MOORABOOL,62.0,0.0,0.0, 2016Total
19,1.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,3.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,Grampians,MOORABOOL,24.0,0.0,0.0, 2018YTD
20,5.0,9.0,0.0,3.0,2.0,4.0,8.0,9.0,7.0,3.0,4.0,4.0,3.0,6.0,2.0,4.0,0.0,1.0,Grampians,MOORABOOL,74.0,0.0,0.0, 2018Total
21,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,8.0,GrampiansSouthern Metropolitan,NORTHERN GRAMPIANS,27.0,0.0,0.0, 2017Total
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GrampiansSouthern Metropolitan,NORTHERN GRAMPIANS,1.0,0.0,0.0, 2016YTD
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GrampiansSouthern Metropolitan,NORTHERN GRAMPIANS,1.0,0.0,0.0, 2017YTD
